Species,Sex,Compound,TracerElements,Fasting,Unusual,Ra_nmol_min_g,Ra_nmol_min
Mouse,NA,glucose,C,T,,151.0,
Mouse,NA,lactic acid,C,T,,374.0,
Mouse,NA,glutamine,C,T,,46.0,
Mouse,NA,alanine,C,T,,81.0,
Mouse,NA,3-hydroxybutyric acid,C,T,,42.0,
Mouse,NA,palmitic acid,C,T,,24.0,
Mouse,NA,oleic acid,C,T,,35.0,
Mouse,NA,linoleic acid,C,T,,45.0,
Mouse,NA,serine,C,T,,20.0,
Mouse,NA,glycine,C,T,,20.0,
Mouse,NA,citric acid,C,T,,11.0,
Mouse,NA,acetic acid,C,T,,56.0,
Mouse,NA,glycerol,C,T,,67.0,
Mouse,NA,glucose,C,F,,466.0,
Mouse,NA,lactic acid,C,F,,517.0,
Mouse,NA,glutamine,C,F,,78.0,
Mouse,NA,alanine,C,F,,114.0,
Mouse,NA,3-hydroxybutyric acid,C,F,,15.0,
Mouse,NA,palmitic acid,C,F,,16.0,
Mouse,NA,oleic acid,C,F,,22.0,
Mouse,NA,linoleic acid,C,F,,27.0,
Mouse,NA,serine,C,F,,23.0,
Mouse,NA,glycine,C,F,,26.0,
Mouse,NA,citric acid,C,F,,10.0,
Mouse,NA,acetic acid,C,F,,105.0,
Mouse,NA,glycerol,C,F,,68.0,
Mouse,NA,glucose,C,T,ketogenic diet,66.0,
Mouse,NA,lactic acid,C,T,ketogenic diet,292.0,
Mouse,NA,glutamine,C,T,ketogenic diet,49.0,
Mouse,NA,alanine,C,T,ketogenic diet,44.0,
Mouse,NA,3-hydroxybutyric acid,C,T,ketogenic diet,91.0,
Mouse,NA,palmitic acid,C,T,ketogenic diet,17.0,
Mouse,NA,oleic acid,C,T,ketogenic diet,36.0,
Mouse,NA,linoleic acid,C,T,ketogenic diet,57.0,
Mouse,NA,glycerol,C,T,ketogenic diet,90,
Mouse,NA,glucose,C,F,ketogenic diet,77.0,
Mouse,NA,lactic acid,C,F,ketogenic diet,237.0,
Mouse,NA,glutamine,C,F,ketogenic diet,61.0,
Mouse,NA,alanine,C,F,ketogenic diet,50.0,
Mouse,NA,3-hydroxybutyric acid,C,F,ketogenic diet,104.0,
Mouse,NA,palmitic acid,C,F,ketogenic diet,22.0,
Mouse,NA,oleic acid,C,F,ketogenic diet,40.0,
Mouse,NA,linoleic acid,C,F,ketogenic diet,45.0,
Mouse,NA,glycerol,C,F,ketogenic diet,178.0,
