Species,Sex,Compound,TracerElements,Fasting,Unusual,Ra_nmol_min_g,Ra_nmol_min
Mouse,M,lactic acid,C,T,,151.7,
Mouse,M,glucose,C,T,,95.4,
Mouse,M,glycerol,C,T,,48.1,
Mouse,M,linoleic acid,C,T,,47.8,
Mouse,M,glutamine,C,T,,37.9,
Mouse,M,acetic acid,C,T,,37.3,
Mouse,M,oleic acid,C,T,,29.5,
Mouse,M,3-hydroxybutyric acid,C,T,,27.5,
Mouse,M,alanine,C,T,,24.0,
Mouse,M,palmitic acid,C,T,,24.0,
Mouse,M,glycine,C,T,,13.8,
Mouse,M,serine,C,T,,11.3,
Mouse,M,lysine,C,T,,10.2,
Mouse,M,leucine,C,T,,9.9,
Mouse,M,valine,C,T,,9.9,
Mouse,M,taurine,C,T,,9.1,
Mouse,M,isoleucine,C,T,,7.6,
Mouse,M,threonine,C,T,,6.0,
Mouse,M,tyrosine,C,T,,5.4,
Mouse,M,citric acid,C,T,,4.9,
Mouse,M,proline,C,T,,4.7,
Mouse,M,phenylalanine,C,T,,4.3,
Mouse,M,methionine,C,T,,4.2,
Mouse,M,arginine,C,T,,4.1,
Mouse,M,glutamic acid,C,T,,4.0,
Mouse,M,2-ketoglutaric acid,C,T,,3.4,
Mouse,M,asparagine,C,T,,2.9,
Mouse,M,aspartic acid,C,T,,2.4,
Mouse,M,tryptophan,C,T,,1.9,
Mouse,M,succinic acid,C,T,,1.8,
Mouse,M,histidine,C,T,,1.8,
Mouse,M,creatine,C,T,,1.5,
Mouse,M,malic acid,C,T,,1.0,
Mouse,M,lactic acid,C,T,tailsnip,339.3,
Mouse,M,glucose,C,T,tailsnip,124.5,
Mouse,M,glycerol,C,T,tailsnip,51.8,
Mouse,M,linoleic acid,C,T,tailsnip,45.0,
Mouse,M,glutamine,C,T,tailsnip,42.2,
Mouse,M,acetic acid,C,T,tailsnip,56.0,
Mouse,M,oleic acid,C,T,tailsnip,35.0,
Mouse,M,3-hydroxybutyric acid,C,T,tailsnip,45.7,
Mouse,M,alanine,C,T,tailsnip,45.8,
Mouse,M,palmitic acid,C,T,tailsnip,25.9,
Mouse,M,glycine,C,T,tailsnip,20.6,
Mouse,M,serine,C,T,tailsnip,28.9,
Mouse,M,lysine,C,T,tailsnip,9.6,
Mouse,M,leucine,C,T,tailsnip,11.1,
Mouse,M,valine,C,T,tailsnip,10.1,
Mouse,M,taurine,C,T,tailsnip,9.9,
Mouse,M,isoleucine,C,T,tailsnip,7.7,
Mouse,M,threonine,C,T,tailsnip,7.3,
Mouse,M,tyrosine,C,T,tailsnip,8.0,
Mouse,M,citric acid,C,T,tailsnip,11.0,
Mouse,M,proline,C,T,tailsnip,5.4,
Mouse,M,phenylalanine,C,T,tailsnip,5.6,
Mouse,M,methionine,C,T,tailsnip,4.6,
Mouse,M,arginine,C,T,tailsnip,9.3,
Mouse,M,glutamic acid,C,T,tailsnip,,
Mouse,M,2-ketoglutaric acid,C,T,tailsnip,4.2,
Mouse,M,asparagine,C,T,tailsnip,4.8,
Mouse,M,aspartic acid,C,T,tailsnip,,
Mouse,M,tryptophan,C,T,tailsnip,1.8,
Mouse,M,succinic acid,C,T,tailsnip,3.1,
Mouse,M,histidine,C,T,tailsnip,2.8,
Mouse,M,creatine,C,T,tailsnip,2.6,
Mouse,M,malic acid,C,T,tailsnip,1.9,
